id,length,text,publisher_pro,isbn_new,year_min,year_max,record,walktrap-npre-unweighted-nimp,walktrap-npre-unweighted-imp,louvain-npre-unweighted-nimp,louvain-npre-unweighted-imp,infomap-npre-unweighted-nimp,infomap-npre-unweighted-imp
1544,1,hippo,hippo,0--590,1995,1995,1,7,7,1274,1274,152,151
1556,1,hmh books,hmh books,0--547,2013,2013,1,7,7,1274,1274,36,35
1569,1,hogarth,hogarth,1--9848;0--553;1--5247,2015,2018,3,7,7,517,517,53,51
1574,1,holt rinehart and winston,holt rinehart and winston,1--56054;0--03,1967,1989,7,7,7,832,832,250,248
1575,1,holt rinehart and winston inc,holt rinehart and winston inc,0--03,1965,1965,1,7,7,832,832,250,248
1584,1,horwood publishing,horwood publishing,0--85709,1998,2005,2,7,7,1629,1629,47,45
1587,1,houghton mifflin,houghton mifflin,0--7534;0--547;0--395;0--618;1--299,1971,2008,12,7,7,1274,1274,36,35
1588,1,houghton mifflin books for children houghton mifflin harcourt,houghton mifflin books for children houghton mifflin harcourt,0--547,2013,2013,1,7,7,1274,1274,36,35
1589,2,houghton mifflin co;;houghton mifflin company,houghton mifflin co;;houghton mifflin company,0--395,1961,1978,2,7,7,1274,1274,36,35
1590,1,houghton mifflin harcourt,houghton mifflin harcourt,0--544;0--547;0--395;0--618;0--15,1995,2019,21,7,7,1274,1274,36,35
1592,1,house of london,house of london,0--09,1976,1976,1,7,7,517,517,61,59
1595,1,howard baker,howard baker,0--09,1969,1969,1,7,7,517,517,61,59
1596,1,howard books,howard books,1--5011,2018,2018,1,7,7,1688,1688,8,4
1598,1,hq,hq,0--00,2018,2018,1,7,7,832,832,35,27
1607,1,humanities research centre,humanities research centre,0--19,1996,1996,1,7,7,828,828,60,58
1614,1,hutchinson,hutchinson,0--09,1972,1978,2,7,7,517,517,61,59
1626,1,ibooks,ibooks,0--7434,2002,2002,1,7,7,1688,1688,103,120
1628,1,icon,icon,0--06,1972,1972,1,7,7,832,832,4,8
1650,1,image,image,0--8041;1--58240,2008,2018,2,7,7,517,517,97,93
1651,1,image books,image books,0--385,1977,1977,1,7,7,517,517,12,13
1652,1,image books doubleday,image books doubleday,0--385,1956,1956,1,7,7,517,517,12,13
1735,1,it books,it books,0--06,2010,2010,1,7,7,832,832,4,8
1743,1,ivy books,ivy books,0--8041,1990,1999,4,7,7,517,517,97,93
1753,2,j cape;;jonathan cape,j cape;;jonathan cape,0--224,1969,2017,5,7,7,517,517,71,256
1756,1,j g ferguson pub co,j g ferguson pub co,0--385,1977,1977,1,7,7,517,517,12,13
1760,1,j messner,j messner,0--671,1989,1989,1,7,7,1688,1688,76,4
1773,1,jai press inc,jai press inc,1--4832,1992,1992,1,7,7,1629,1629,37,36
1777,1,jane's,jane's,0--531;0--7106,1980,1980,1,7,7,1274,1274,96,61
1792,1,joanna cotler books,joanna cotler books,1--4420;0--7569;0--7882;0--06,2002,2002,1,7,7,1274,1274,99,95
1819,1,jove,jove,1--4420;0--515,2015,2019,2,7,7,1274,1274,99,95
1820,1,jove books,jove books,0--515;0--7394,1988,2006,3,7,7,1274,1274,83,74
1821,1,jove publications,jove publications,0--515;0--671,1978,1983,2,7,7,1274,1274,76,74
1838,1,katerine tegen,katerine tegen,0--06,2018,2018,1,7,7,832,832,4,8
