"id","length","text","isbn_new","year_min","year_max","record","group"
284,1,"baker book house","0--8010","1980","1980",1,184
285,1,"baker books","0--8010","2007","2007",1,1010
286,1,"balboa press","1--4525","2012","2012",1,16
287,1,"ballantine","0--449;0--345","1969","1996",7,16
288,1,"ballantine books","0--345;0--8335;0--449;0--312;0--307","1972","2017",33,16
289,1,"ballantine pub. group","0--345","2001","2001",1,969
290,1,"ballinger pub. co","0--88410","1984","1984",1,195
291,1,"bandh publishing group","1--4336","2019","2019",1,958
292,1,"banner of truth trust","0--85151","1995","1995",1,16
293,1,"bantam","0--553;0--440;0--87129;3--453;0--7181","1964","2008",9,16
294,1,"bantam books","0--01;0--553;0--8041;1--299;0--613;0--88103;0--329","1971","2018",30,16
295,1,"bantam books trade paperbacks","0--345","2012","2012",1,16
296,1,"bantam classic","0--553","2003","2003",1,16
297,1,"bantam dell","0--307;0--553","2005","2006",2,16
298,1,"bantam doubleday books for young readers","0--440;0--329","1982","1982",1,16
299,1,"bantam doubleday dell books for young readers","0--440;1--299","1993","1999",3,862
300,1,"bard press","1--885167","2017","2017",1,194
301,1,"barefoot books","1--78285;1--84686;1--905236","2007","2016",3,16
302,1,"barnes and noble","0--7607;1--56619;0--06","1976","2003",6,16
303,1,"barnes and noble books","0--7607;0--06;0--389","1971","2005",4,836
304,1,"baronet","0--86611","1965","1965",1,140
305,1,"barrington stoke","1--78112","2012","2012",1,43
306,1,"barron's","0--8120;0--7641","1988","2011",5,43
307,1,"barron's educational series","1--4380;0--7641","1984","2014",4,43
308,1,"barron's educational series inc","0--7641","2014","2014",1,43
309,1,"barrons","1--4380","2015","2015",1,274
310,2,"basic books;;basicbooks","1--5416;0--465","1999","2018",2,108
311,1,"batsford","0--89676;0--7134","1986","1986",1,787
312,1,"battle of britain prints international","0--900913","1992","1992",1,774
313,1,"baylor university press","1--932792","2006","2006",1,33
314,1,"bbc audiobooks","0--7540;1--4084;1--4056","1955","2009",8,33
315,1,"bbc audiobooks ltd","1--4084","2010","2010",1,155
316,1,"bbc books","1--84990;0--563","1983","2007",4,61
317,1,"bc ink","0--692","2014","2014",1,315
318,1,"beacon hill press","0--8341","2014","2014",1,315
319,1,"beacon hill press of kansas city","0--8341","2014","2014",1,738
320,1,"beacon press","0--8070","1972","1988",3,2
321,1,"beadle","0--665","1984","1984",1,725
322,1,"bear media","1--5197","2014","2014",1,715
323,1,"bearhead publishing","1--937508","2015","2015",1,711
324,1,"bearmanor media","1--62933","2018","2018",1,420
325,1,"bearport publishing","1--68402;1--62724","2015","2018",3,716
326,1,"beast books","0--9842951","2013","2013",1,699
327,1,"beautiful pacific publishing","1--7323421","2018","2018",1,696
328,1,"beehive foundation","0--88322","1997","1997",1,693
329,1,"beeler large print","1--57490","2003","2003",1,228
330,3,"belknap press of harvard univ. press;;belknap press of harvard university press;;belknap press of harvard universitypress","0--674","1979","2018",8,681
331,1,"bell bridge books","1--61194","2017","2017",1,1267
332,1,"bellekeep books","1--936878","2017","2017",1,13
333,1,"bellwether media","1--62617;0--531","2018","2018",2,13
334,1,"bellwether media inc","1--62617;0--531","2013","2013",1,224
335,1,"benbella books inc","1--939529;1--941631;1--937856","2013","2014",2,632
336,1,"benchmark education company","1--4509","2013","2013",1,624
337,1,"benjamin co","0--87502","1980","1980",1,29
338,1,"benn","0--393;0--510","1974","1978",2,449
339,1,"berg","1--84788;0--85785","2012","2012",2,449
340,1,"berg publishers","1--84788;0--85785","2012","2012",1,173
341,1,"berghahn","1--78238;1--78533","2015","2017",2,173
342,1,"berghahn books","1--78238;1--84545;1--78533","2007","2016",4,16
343,1,"berkeley publishing","0--441","1987","1987",1,570
344,1,"berklee press","0--87639","2012","2014",2,16
345,1,"berkley","0--425;0--671","1979","1991",3,16
346,1,"berkley books","0--425;1--61793","1983","2014",19,16
347,1,"berkley prime crime","0--425","1994","2003",2,16
348,1,"berkley pub","0--441;0--399","2002","2004",2,16
349,1,"berkley pub. co","0--425","1975","1975",1,16
350,1,"berkley pub. corp.","0--425","1977","1977",1,16
351,2,"berkley pub. group;;berkley publishing group","0--425;0--441;0--515","1987","2013",5,508
352,1,"berlinica","1--935902","2015","2015",1,504
353,1,"berrett-koehler pub","1--4596","2013","2013",1,501
354,1,"bet publications","1--58314","1999","1999",1,499
355,1,"bethany claire","0--9961136","2015","2015",1,123
356,1,"bethany house","0--7642;1--61664","2010","2017",2,123
357,1,"bethany house publishing","0--7642","2016","2016",1,480
358,1,"betty turso","1--5025","2014","2014",1,475
359,1,"bfi palgrave","1--84457","2018","2018",1,30
360,1,"bh","0--12","2015","2015",1,195
361,1,"bh kids","1--4336","2013","2013",1,466
362,1,"bible societies","0--564","1995","1995",1,459
363,1,"bibliobazaar","1--4375","2008","2008",1,1651
364,1,"bibliolife","1--113","2009","2009",1,61
365,1,"biblioque","0--692","2015","2015",1,451
366,1,"big and small publishing","1--921790","2014","2014",1,1875
367,1,"big field books","0--9927344","2014","2014",1,1868
368,1,"big kid science","1--937548","2014","2014",2,298
369,1,"binky books","1--85627","1991","1991",1,10
370,1,"bios scientific publishers","0--203","2005","2005",1,125
371,1,"birkhauser verlag","3--7643","2003","2003",1,125
372,1,"birkhäuser","0--8176;3--7643","1996","1996",1,1831
373,1,"birmingham historical society","0--943994","2008","2008",1,1823
374,1,"bishop museum press","0--910240","1978","1978",1,306
375,1,"biteback publishing","1--78590","2016","2017",2,306
376,1,"biteback publishing ltd","1--78590","2018","2018",1,1812
377,1,"bithell","0--9993290","2017","2017",1,1805
378,1,"black cat","0--7481","1994","1994",1,1796
379,1,"black classic press","0--933121","1994","1994",1,1789
380,1,"black library","1--84970","2015","2015",1,1884
381,1,"black oak media","1--61876","2013","2013",1,208
382,1,"black rabbit books","0--7166","2018","2018",1,1774
383,1,"black radish books","0--9964001","2016","2016",1,1819
384,1,"black rose writing","1--68433","2018","2018",1,1766
385,1,"black sparrow press","0--87685","1997","1997",1,178
386,1,"black swan","0--552","2002","2010",2,1753
387,1,"black widow press","0--9856122","2015","2015",1,1748
388,1,"blackstaff press","0--85640","1985","1985",1,1739
389,1,"blackstone audio","1--4332","2008","2008",1,172
390,1,"blackwell","0--631;0--632;1--55786","1975","2004",7,3
391,1,"blackwell publishing","0--470","2008","2008",1,1720
392,1,"blandford","0--7137","1988","1988",1,1718
393,1,"blonde art books","0--9883214","2015","2015",1,7
394,1,"bloomsbury","1--62040;1--4742;1--63286;1--4725;1--4088;0--7475;1--4411;1--4729;0--8264;0--567;1--60819;1--4081;1--59691;1--78093;1--350","2006","2018",21,7
395,1,"bloomsbury academic","1--4725;1--62892;1--4411;1--283;1--306;1--5013;1--336;1--84966;1--4742;1--78093;1--350","2005","2019",40,7
396,1,"bloomsbury arden shakespeare","1--4411;1--4725","2010","2015",2,1644
397,1,"bloomsbury books","1--870630","1988","1988",1,7
398,1,"bloomsbury children's books","1--68119;1--4088","2018","2019",2,7
399,1,"bloomsbury education","1--4729","2018","2018",1,7
400,1,"bloomsbury methuen drama","1--4742;1--4725","2017","2018",2,7
401,1,"bloomsbury press","1--60819","2016","2016",1,7
402,1,"bloomsbury publishing","1--5266;1--59691","2006","2018",2,7
403,1,"bloomsbury publishing plc","1--4985;1--350;1--4088","2015","2018",2,7
404,1,"bloomsbury sport","1--4729","2019","2019",1,7
405,1,"bloomsbury t and t clark","0--567","2014","2018",5,7
406,1,"bloomsbury visual arts","1--4725;1--350","2018","2019",2,1591
407,1,"blue apple books","1--934706","2009","2009",1,16
408,1,"blue rider press","0--14","2015","2015",1,1589
409,1,"blue star press","1--944515","2018","2018",1,1580
410,1,"blue wind press","0--912652","1979","1979",1,117
411,1,"bobbs-merrill educational pub","0--672","1977","1977",1,121
412,1,"bodley head","0--370;1--84792","1981","2013",3,1569
413,1,"bolchazy-carducci publishers inc","0--86516","2014","2014",1,1564
414,1,"bold strokes books","1--62639","2016","2016",1,1559
415,1,"bond street publications","1--5232","2016","2016",1,1552
416,1,"bonneville books","1--59955","2011","2011",1,1548
417,1,"bonnie doon press","1--7906","2018","2018",1,1546
418,1,"bonus books","1--56625","1998","1998",1,343
419,1,"book guild ltd","1--912575;1--910878","2016","2018",2,1533
420,1,"bookbaby","1--4835","2016","2016",1,1535
421,1,"bookbullet","1--61984","2013","2013",1,350
422,1,"books for libraries press","0--8369","1971","1971",1,349
423,1,"books on demand","0--317;3--8334","1996","2006",2,316
424,1,"booksurge publishing","1--4392","2008","2008",1,316
425,1,"booksurge?","1--4392","2009","2009",1,13
426,1,"bookwright press","0--531","1986","1986",1,12
427,1,"bordas","0--245","1975","1975",1,1516
