index,F001_a,isbn_tag,isbn_tag1,F008_0710,F26x_b_cleaned,class,publisher1,publisher2
101,1023738220,1--4898 ;; 0--06,0--06,2015,"harper, an imprint of harpercollinspublishers",imprint,"harper, ", harpercollinspublishers
103,1024139287,0--698,0--698,2018,"penguin press, an imprint of penguin random house llc",imprint,"penguin press, ", penguin random house llc
105,1022761794,0--567,0--567,2018,"bloomsbury t and t clark, an imprint of bloomsbury publishing plc",imprint,"bloomsbury t and t clark, ", bloomsbury publishing plc
109,1049775193,1--4522,1--4522,2014,"cq press, an imprint of sage publications",imprint,"cq press, ", sage publications
111,1050448540,1--62979,1--62979,2018,"boyds mills press, an imprint of highlights",imprint,"boyds mills press, ", highlights
112,1018121440,1--350,1--350,2018,"bloomsbury academic, an imprint of bloomsbury publishing plc",imprint,"bloomsbury academic, ", bloomsbury publishing plc
113,805655060,1--59078,1--59078,2013,"wordsong, an imprint of highlights",imprint,"wordsong, ", highlights
122,923441824,0--12,0--12,2015,butterworth heinemann is an imprint of elsevier,imprint,butterworth heinemann , elsevier
124,1004576118,1--5099,1--5099,2018,"hart publishing, an imprint of bloomsbury publishing plc",imprint,"hart publishing, ", bloomsbury publishing plc
126,1082256450,1--4106,1--4106,2007,"routledge, an imprint of taylor and francis",imprint,"routledge, ", taylor and francis
127,1012682624,0--14,0--14,2018,"penguin books, an imprint of penguin random house llc",imprint,"penguin books, ", penguin random house llc
131,910608894,1--250,1--250,2014,"square fish, an imprint of macmillan",imprint,"square fish, ", macmillan
136,915940167,1--4666,1--4666,2015,"information science reference, an imprint of igi global",imprint,"information science reference, ", igi global
138,1035765307,0--06,0--06,2018,"harperluxe, an imprint of harpercollins publishers",imprint,"harperluxe, ", harpercollins publishers
140,919323325,1--62403,1--62403,2016,"big buddy books, an imprint of abdo publishing",imprint,"big buddy books, ", abdo publishing
142,1007839977,0--08,0--08,2017,chandos publishing is an imprint of elsevier,imprint,chandos publishing , elsevier
151,1010545398,1--350,1--350,2018,"bloomsbury academic, an imprint of bloomsbury publishing plc",imprint,"bloomsbury academic, ", bloomsbury publishing plc
162,940281347,1--5013,1--5013,2016,"bloomsbury academic, an imprint of bloomsbury publishing plc",imprint,"bloomsbury academic, ", bloomsbury publishing plc
172,1069696526,1--4200,1--4200,2011,"taylor and francis, an imprint of chapman and hall/crc",imprint,"taylor and francis, ", chapman and hall/crc
176,1008907494,1--4408,1--4408,2017,"praeger, an imprint of abc-clio llc",imprint,"praeger, ", abc-clio llc
179,943698152,0--06,0--06,2016,"harperluxe, an imprint of harpercollins publishers",imprint,"harperluxe, ", harpercollins publishers
191,935354274,0--545,0--545,2015,"graphix, an imprint of scholastic",imprint,"graphix, ", scholastic
193,936534431,1--62979,1--62979,2016,"boyds mills press, an imprint of highlights",imprint,"boyds mills press, ", highlights
196,925497503,0--06,0--06,2016,"harperdesign, an imprint of harpercollins publishers",imprint,"harperdesign, ", harpercollins publishers
204,948669899,1--4408,1--4408,2017,"greenwood, an imprint of abc-clio llc",imprint,"greenwood, ", abc-clio llc
207,645790102,0--87062,0--87062,2011,"arthur h. clark comapny, an imprint of the university of oklahoma press",imprint,"arthur h. clark comapny, ", the university of oklahoma press
220,944210043,0--12,0--12,2016,"academic press, an imprint of elsevier",imprint,"academic press, ", elsevier
224,1004957507,1--350,1--350,2018,"bloomsbury academic, an imprint of bloomsbury publishing plc",imprint,"bloomsbury academic, ", bloomsbury publishing plc
225,1079795267,1--60309,1--60309,2019,"top shelf productions, an imprint of idw publishing",imprint,"top shelf productions, ", idw publishing
253,1032289647,1--59078,1--59078,2017,"boyds mills press, an imprint of highlights",imprint,"boyds mills press, ", highlights
256,13037292,1--4395 ;; 0--380,0--380,1978,"avon books, an imprint of harpercollinspublishers",imprint,"avon books, ", harpercollinspublishers
257,1066627943,,,2016,"elsevier/ap, academic press is an imprint of elsevier",imprint,"elsevier/ap, academic press ", elsevier
259,1062448940,1--78901,1--78901,2018,"matador, an imprint of troubador publishing ltd",imprint,"matador, ", troubador publishing ltd
268,965922282,1--78663 ;; 1--78478,1--78478,2017,"verso books, the imprint of new left books",imprint,"verso books, ", new left books
275,1046621371,0--12,0--12,2019,"academic press, an imprint of elsevier",imprint,"academic press, ", elsevier
278,1038475636,1--315,1--315,2018,"routledge, an imprint of the taylor and francis group",imprint,"routledge, ", the taylor and francis group
279,1055131954,1--909487,1--909487,2018,"kyle books, an imprint of kyle cathie ltd",imprint,"kyle books, ", kyle cathie ltd
280,1036843112,,,2018,"michael joseph, an imprint of penguin books",imprint,"michael joseph, ", penguin books
283,946007757,0--89555,0--89555,2012,"tan books, an imprint of saint benedict press llc",imprint,"tan books, ", saint benedict press llc
287,1089724883,0--465,0--465,2017,"basic books, an imprint of perseus books, llc, a subsidiary of hachette book group inc",imprint,"basic books, "," perseus books, llc, a subsidiary of hachette book group inc"
288,44538809,1--56563,1--56563,1999,"prince press, an imprint of hendrickson publishers",imprint,"prince press, ", hendrickson publishers
291,849801116,1--4411,1--4411,2014,"bloomsbury academic, an imprint of bloomsbury publishing plc",imprint,"bloomsbury academic, ", bloomsbury publishing plc
292,914193126,0--06,0--06,2015,"harper, an imprint of harpercollinspublishers",imprint,"harper, ", harpercollinspublishers
294,1017798801,0--531 ;; 1--912006,1--912006,2018,"franklin watts, an imprint of scholastic inc",imprint,"franklin watts, ", scholastic inc
297,967067746,0--8117,0--8117,2017,"stackpole books, an imprint of globe pequot",imprint,"stackpole books, ", globe pequot
298,953843131,1--350,1--350,2017,"bloomsbury methuen drama, an imprint of bloomsbury publishing plc",imprint,"bloomsbury methuen drama, ", bloomsbury publishing plc
307,946883562,,,2016,academic press is an imprint of elsevier,imprint,academic press , elsevier
311,1017602216,1--78472,1--78472,2018,"mitchell beazley, an imprint of octopus publishing group ltd",imprint,"mitchell beazley, ", octopus publishing group ltd
312,885369090,0--241,0--241,2013,"viking, an imprint of penguin books",imprint,"viking, ", penguin books
321,820632192,1--4621,1--4621,2013,"sweetwater books, an imprint of cedar fort inc",imprint,"sweetwater books, ", cedar fort inc
322,945949886,0--375 ;; 0--606,0--375,2016,"yearling, an imprint of random house children's books",imprint,"yearling, ", random house children's books
329,961910094,0--12,0--12,2016,academic press is an imprint of elsevier,imprint,academic press , elsevier
331,1021874826,0--06,0--06,2018,"william morrow, an imprint of harpercollinspublishers",imprint,"william morrow, ", harpercollinspublishers
335,892700779,0--06,0--06,2015,"ecco, an imprint of harpercollins publishers",imprint,"ecco, ", harpercollins publishers
338,880942739,0--545,0--545,2014,"cartwheel books, an imprint of scholastic inc",imprint,"cartwheel books, ", scholastic inc
343,965806128,0--7603,0--7603,2017,"voyageur press, an imprint of the quarto publishing group",imprint,"voyageur press, ", the quarto publishing group
344,1043776117,0--531,0--531,2019,children's press an imprint of scholastic inc,imprint,children's press , scholastic inc
350,958454544,1--78308,1--78308,2016,"anthem press, an imprint of wimbledon publishing company",imprint,"anthem press, ", wimbledon publishing company
356,913341244,0--00 ;; 0--06,0--00,2015,"william morrow, an imprint of harpercollins publishers",imprint,"william morrow, ", harpercollins publishers
360,1032022213,0--12,0--12,2018,"academic press, an imprint of elsevier",imprint,"academic press, ", elsevier
361,921310975,1--62969,1--62969,2016,"core library, an imprint of abdo publishing",imprint,"core library, ", abdo publishing
368,318415652,1--4169,1--4169,2010,"atheneum books for young readers, an imprint of simon and schuster children's publishing division",imprint,"atheneum books for young readers, ", simon and schuster children's publishing division
