id,length,text,publisher_pro,isbn_new,year_min,year_max,record,walktrap-pre-unweighted-nimp,walktrap-pre-unweighted-imp,louvain-pre-unweighted-nimp,louvain-pre-unweighted-imp,infomap-pre-unweighted-nimp,infomap-pre-unweighted-imp
1107,1,eerdmans publishing company,eerdmans publishing company,0--8028,2007,2007,1,226,226,636,636,142,138
1749,1,inter varsity press,inter varsity press,0--8028,1989,1989,1,226,226,636,636,142,138
3577,1,w b eerdmans pub co,w b eerdmans pub co,0--8028,1983,2012,3,226,226,636,636,142,138
3683,1,william b eerdmans publishing company,william b eerdmans publishing company,0--8028,2015,2015,1,226,226,636,636,142,138
1108,1,egmont,egmont,1--4052,1999,2018,7,231,231,637,637,166,163
1109,1,egmont uk,egmont uk,1--4052,2018,2018,1,231,231,637,637,166,163
1110,1,egmont uk limited,egmont uk limited,1--4052,2016,2018,4,231,231,637,637,166,163
1583,1,heritage egmont,heritage egmont,1--4052,2014,2014,1,231,231,637,637,166,163
2848,1,red shed,red shed,1--4052,2018,2018,1,231,231,637,637,166,163
1111,1,eisenbrauns,eisenbrauns,1--57506,2014,2014,1,1031,1031,638,638,732,1946
1112,1,el cid editor,el cid editor,1--4492,2009,2009,1,1029,1029,639,639,754,2052
1113,1,eland,eland,1--906011,2011,2011,1,1027,1027,640,640,1867,1398
1114,1,eleanor d wilson museum hollins university,eleanor d wilson museum hollins university,0--9823025,2012,2012,1,1026,1026,641,641,839,1947
1116,1,element children's books,element children's books,1--902618,2002,2002,1,1021,1021,642,642,1354,845
1117,1,elephant house press,elephant house press,0--6484200,2018,2018,1,1020,1020,643,643,2121,909
1118,1,elephant rock books,elephant rock books,1--7324141,2018,2018,1,1017,1017,644,644,819,2170
1119,1,ella frank llc,ella frank llc,1--9861,2018,2018,1,1023,1023,645,645,1991,1399
1120,1,ellis island immigrant cookbook,ellis island immigrant cookbook,0--9629198,1997,1997,1,1014,1014,646,646,775,2208
1121,1,ellora's cave,ellora's cave,1--4199,2005,2012,2,223,223,647,647,117,116
1122,1,ellora's cave pub,ellora's cave pub,1--4199,2010,2011,2,223,223,647,647,117,116
1123,1,ellora's cave publishing,ellora's cave publishing,1--4199,2006,2006,1,223,223,647,647,117,116
1124,1,ellora's cave publishing inc,ellora's cave publishing inc,1--4199,2007,2011,3,223,223,647,647,117,116
1125,1,ellora's cave romantica pub,ellora's cave romantica pub,1--4199,2009,2009,1,223,223,647,647,117,116
1126,1,ellora's cave romantica publishing,ellora's cave romantica publishing,1--4199,2012,2012,1,223,223,647,647,117,116
1127,1,ellora's cave romatica publishing,ellora's cave romatica publishing,1--4199,2007,2007,1,223,223,647,647,117,116
1139,1,emerald,emerald,1--78560;1--78190;1--78350,2013,2015,4,25,25,648,648,90,89
1140,1,emerald group publishing limited,emerald group publishing limited,1--78635;1--78714;1--78350,2014,2017,3,25,25,648,648,90,89
1141,1,emerald publishing limited,emerald publishing limited,1--78714;1--78754,2017,2018,2,25,25,648,648,90,89
1142,1,emeralda ltd,emeralda ltd,0--907453,1976,1976,1,973,973,649,649,1868,1906
1143,1,emerson books,emerson books,0--87523,1969,1969,1,961,961,650,650,1838,741
1144,1,empak enterprises,empak enterprises,0--9616156,1987,1987,1,958,958,651,651,795,2111
1145,1,encircle publications,encircle publications,1--948338,2017,2017,1,953,953,652,652,2108,1948
1146,1,encounter books,encounter books,1--59403,2017,2017,1,951,951,653,653,914,910
1147,1,encyclopaedia britannica,encyclopaedia britannica,0--85229;1--59339,1990,2005,2,193,193,654,654,267,281
1148,1,encyclopaedia britannica inc,encyclopaedia britannica inc,1--59339,2010,2010,1,193,193,654,654,267,281
1149,1,enslow elementary,enslow elementary,0--7660,2015,2015,1,125,125,655,655,180,175
1150,1,enslow publishers,enslow publishers,0--7660;1--4645,2001,2014,2,125,125,655,655,180,175
1151,1,enslow publishers inc,enslow publishers inc,0--7660,2015,2015,2,125,125,655,655,180,175
1152,1,enslow publishing,enslow publishing,0--7660,2018,2019,4,125,125,655,655,180,175
1153,1,entangled brazen,entangled brazen,1--68281,2016,2016,1,942,942,656,656,1857,822
1155,1,environmental law institute,environmental law institute,1--58576,2002,2015,2,939,939,657,657,1950,2136
1157,1,ep books,ep books,1--78397,2013,2013,1,938,938,658,658,865,846
1158,1,epic comics,epic comics,0--87135,1989,1989,1,459,459,659,659,425,518
2142,1,marvel comics,marvel comics,0--87135,1989,1990,2,459,459,659,659,425,518
1159,1,epic escape,epic escape,1--68076,2018,2018,1,541,541,660,660,400,400
1160,1,epic press,epic press,1--68076,2018,2018,1,541,541,660,660,400,400
1161,1,eps players press,eps players press,0--88734,1998,1998,1,933,933,661,661,1839,823
1163,1,equinox,equinox,1--78179;1--84553,2013,2014,3,468,468,662,662,506,519
1164,1,eraldo lucero,eraldo lucero,1--5031,2014,2014,1,930,930,663,663,915,2053
1165,1,eraserhead press,eraserhead press,1--62105,2018,2018,1,929,929,664,664,916,911
1166,1,ereads com,ereads com,0--7592,2002,2003,2,924,924,665,665,796,912
