cluster_id,isbn,record
1023,1--4718,3
1024,1--937854,1
1024,1--941531,1
1025,0--419,2
1026,0--203,1
1027,0--7131,3
1028,80--7484,1
1029,2--37372,1
1030,1--78254,1
1031,0--8166,1
1032,0--85312,1
1032,0--470,1
1033,0--525,2
1034,1--61756,2
1035,0--665,1
1036,0--665,1
1037,1--315,2
1038,0--932296,1
1039,1--4121,1
1040,1--250,1
1040,1--4735,1
1041,1--57423,1
1041,0--06,4
1042,0--9848049,1
1043,0--913035,1
1044,1--78552,1
1045,0--7945,2
1046,1--903919,1
1047,1--78471,1
1048,1--890311,1
1049,0--8308,1
1050,0--89729,1
1051,1--4744,7
1051,0--7486,12
1052,1--5099,1
1053,85--328,1
1054,1--945234,1
1055,958--781,1
1056,0--8297,2
1057,1--931536,1
1058,0--8179,1
1059,0--930315,1
1060,0--87694,1
1061,0--87778,1
1062,0--8388,1
1063,0--7131,2
1064,1--84720,2
1064,1--84376,3
1064,1--78254,4
1064,1--78100,6
1064,1--84844,5
1064,1--78347,4
1064,0--85793,5
1065,1--78536,4
1065,1--84064,2
1066,1--78471,4
1066,1--78254,1
1066,1--84980,2
1066,1--78811,2
1066,1--78536,3
1067,1--78347,1
1067,1--78811,1
1067,1--78471,1
1068,1--78195,1
1069,0--7734,1
1070,1--78471,2
1070,1--78536,1
1071,0--8028,9
1072,0--8028,1
1073,0--8028,2
1074,1--4052,13
1075,1--4052,5
1076,1--4052,4
1077,1--57506,1
1078,1--4492,1
1079,1--906011,1
1080,0--9823025,1
1081,0--00,1
1081,1--86204,1
1082,1--902618,1
1083,0--6484200,1
1084,1--7324141,1
1085,1--9861,1
1086,0--9629198,1
1087,1--4199,11
1088,1--4199,6
1089,1--4199,4
1090,1--4199,3
1091,1--4199,2
1092,1--4199,1
1093,1--4199,1
1094,0--12,1
1095,0--323,25
1095,0--444,5
1095,1--85617,2
1095,1--4831,1
1095,0--7506,1
1095,0--85334,1
1095,0--08,3
1095,1--299,1
1095,1--5225,1
1095,0--85709,1
1095,1--78242,1
1095,1--907184,1
1095,1--4557,4
1095,0--12,33
1096,0--12,3
1097,1--4832,1
1098,0--12,1
1099,94--011,1
1100,1--85617,1
1101,0--323,2
1102,0--12,1
1103,0--323,4
1103,1--4557,3
1104,0--444,1
1105,1--78560,1
1105,1--78190,1
1105,1--78350,3
1106,1--78635,1
1106,1--78350,1
1106,1--78714,1
1107,1--78754,1
1107,1--78714,1
1108,0--907453,1
1109,0--87523,1
1110,0--9616156,1
1111,1--948338,1
1112,1--59403,1
1113,0--85229,1
1113,1--59339,2
1114,1--59339,1
1115,0--7660,1
1116,0--7660,4
1117,0--7660,2
1118,0--7660,4
1119,1--68281,1
1120,1--62266,1
1121,1--58576,2
1122,0--380,1
1122,0--06,1
1123,1--78397,1
1124,0--87135,1
1125,1--68076,1
1126,1--68076,1
1127,0--88734,1
1128,0--615,1
1129,1--84553,2
1129,1--78179,2
1130,1--5031,1
1131,1--62105,1
1132,0--7592,2
1133,1--312,1
1134,0--615,1
1135,0--9930471,1
1136,1--4722,1
1137,0--674,1
1138,1--871891,1
1139,0--9897532,1
1139,0--9886922,1
1140,0--9862378,1
1141,1--60945,2
1142,0--936993,1
1143,0--900362,1
1144,1--910118,1
1145,0--237,1
1146,1--68230,1
1147,1--85744,1
1148,0--917168,1
1149,0--671,1
1150,1--61519,1
1151,1--62424,1
1152,1--945566,1
