"Publisher","ID","ISBN","group","walktrap","louvain","infomap"
"apa publications",441105458,"0--7495",178,384,127,309
"apha press",884586481,"0--87553",179,591,128,602
"apollo publishers",1049909381,"1--948062",180,585,129,603
"applause theatre and cinema books",953386918,"1--4950",181,576,130,1321
"apple",902739872,"1--84543",182,570,131,539
"apple academic press",1029073312,"1--77188",183,11,1239,285
"apple academic press",891385936,"1--4665",183,11,1239,285
"apple academic press",966609964,"1--315",183,11,1239,285
"apple academic press",1021058313,"1--77188",183,11,1239,285
"apple academic press",1009151671,"1--77188",183,11,1239,285
"apple academic press inc",897560240,"1--926895",184,11,1239,285
"apple academic press inc",896609149,"1--4822",184,11,1239,285
"apple academic press inc",966256850,"1--77188",184,11,1239,285
"apple academic press inc",892784978,"1--77188",184,11,1239,285
"apress",930703221,"1--4842",185,229,132,310
"apress",928625783,"1--4842",185,229,132,310
"apress",1032591102,"1--4842",185,229,132,310
"apress",933784086,"1--4842",185,229,132,310
"apress",1022081477,"1--4842",185,229,132,310
"apress",961621691,"1--4842",185,229,132,310
"apress",959950205,"1--4842",185,229,132,310
"apress",1044188823,"1--4302",185,229,132,310
"arbor house",12372454,"0--575",186,5,133,116
"arbor house",2398802,"0--87795",186,5,133,116
"arbor house",1013345847,"0--87795",186,5,133,116
"arcade pub",937567995,"1--55970",187,239,134,287
"arcade publishing",902657277,"1--62872",187,239,134,287
"arcade publishing",907190615,"1--62872",187,239,134,287
"arcadia publishing",908915052,"1--4671",188,139,786,230
"arcadia publishing",847348775,"1--4671",188,139,786,230
"arcadia publishing",871192534,"1--4671",188,139,786,230
"archaeopress",866997296,"1--4073",189,322,135,500
"archaeopress",911016989,"1--4073",189,322,135,500
"archaeopress",907928512,"1--4073",189,322,135,500
"archaeopress publishing ltd",1013188033,"1--78491",190,1865,136,1322
"archaeopress publishing ltd",1012773259,"1--78491",190,1865,136,1322
"archdiocese",26121597,"1--879035",191,1849,137,1323
"archie comic publications inc",1009000879,"1--68255",192,1838,138,1324
"archon books",94296,"0--208",193,1826,139,604
