Country_code,Publisher_code,Publisher
0,7200,Amgueddfa Genedlaethol Cymru = National Museum Wales
0,7201,Mansell
0,7202,James Nisbet
0,7204,North-Holland Publishing
0,7205,Outposts Publications
0,7206,Peter Owen Publishers
0,7207,Pelham Books
0,7208,Pickering & Inglis
0,7210,Cement and Concrete Association
0,7211,W. Reeves
0,7212,Regency Press
0,7214,Wills & Hepworth
0,7216,Saunders Publishing
0,7217,Schofield Sims
0,7219,Shaw and Sons
0,7220,Sheed and Ward
0,7221,Sphere Books
0,7223,Arthur H. Stockwell
0,7225,Thorsons Publishing
0,7226,Kestrel Books
0,7227,Continua
0,7228,Zeno
0,7230,Times Books
0,7231,University Tutorial Press
0,7232,Frederick Warne & Co
0,7234,Wolfe Publishing
0,7235,World International Publishing
0,7236,John Wright and Sons
0,7240,[State of] New South Wales (Australia)
0,7241,[State of] Victoria (Australia)
0,7242,Cairns
0,7243,[State of] South Australia
0,7245,Northern Territory (Australia)
0,7248,Prentice-Hall of Australia
0,7251,Macmillan Company of Australia
0,7254,Ure Smith
0,7256,Hawthorn Press; Aureal Publications
0,7258,Flinders University of South Australia
0,7259,"University of Newcastle, Australia"
0,7263,Summer Institute of Linguistics (New Guinea)
0,7267,Edward Arnold (Australia)
0,7273,Pentech Press
0,7275,Aquila
0,7277,Thomas Telford Ltd
0,7278,Severn House
0,7279,British Medical Association (BMA)
0,7281,Aims for Freedom and Enterprise
0,7282,Estates Gazette
0,7285,White Lion Publishers
0,7286,University of London: School of Oriental and African Studies (SOAS)
0,7287,Arts Council of Great Britain
0,7289,Becket
0,7291,Open Books
0,7292,National Economic Development Office (NEDO)
0,7293,Grant & Cutler
0,7294,Voltaire Foundation
0,7295,"Holt, Rinehart and Winston (Australia); Harcourt Brace Jovanovich(Australia); Saunders/Baillière Tindall (Australia)"
0,7299,Pitman Publishing (Australia)
0,7300,Deakin University
0,7301,Reed International (Australia)
0,7305,DSP Resource Productions (Disadvantaged Schools' Programme)
0,7308,South Australian Sports Institute
0,7313,Art Gallery of New South Wales
0,7315,Australian National University
0,7317,Department of Defence (Australia)
0,7318,Simon & Schuster (Australia)
0,7322,Collins Australia
0,7325,University of Melbourne
0,7326,Monash University
0,7327,Mimosa Publications; Shortland Publications (New Zealand)
0,7329,Macmillan of Australia
0,7333,ABC Books (Australian Broadcasting Corporation)
0,7339,Addison Wesley; Longman;Pearson; Prentice Hall (Australia)
0,7340,University of Melbourne
0,7347,Art Gallery of New South Wales
0,7354,American Institute of Physics
0,7355,Aspen Publishers
0,7356,Microsoft Press
0,7357,New Riders Press
0,7358,North-South
0,7360,Human Kinetics
0,7368,Bridgestone Books
0,7369,Harvest House Publishers
0,7375,Biblical Studies Press
0,7377,Greenhaven Press
0,7382,Perseus Books; Da Capo Press
0,7385,Arcadia Publishing
0,7386,Research & Education Association
0,7388,Xlibris Corporation
0,7389,Sony Wonder
0,7391,Lexington Books
0,7399,Rod and Staff Publishers
0,7407,Andrews McMeel Publishing
0,7414,Infinity Publishing
0,7425,Rowman & Littlefield
0,7432,"Simon & Schuster, Scribner"
0,7433,Clocktower Books [1] (formerly Clocktower Fiction)
0,7434,Pocket Books
0,7445,Walker Books
0,7448,Ark Paperbacks
0,7449,Adamantine Press
0,7450,Wheatsheaf; Harvester Wheatsheaf
0,7451,Cherrytree Press; Chivers Press
0,7453,Pluto Press
0,7456,Polity Press
0,7458,Ellis Horwood
0,7459,Lion Publishing
0,7460,Usborne Publishing
0,7462,MTP Press
0,7463,Northcote House
0,7464,Business and Technology Education Council
0,7465,Oriental University Press
0,7466,Harcourt Brace Jovanovich (Educational)
0,7470,Christopher Helm Publishers
0,7471,Harrap-Columbus
0,7472,Headline
0,7474,Sphere Books
0,7475,Bloomsbury Publishing
0,7476,Van Nostrand Reinhold (International)
0,7478,Shire Publications
0,7480,HMSO: Scottish Office
0,7483,A. T. Foulks Lynch
0,7484,Taylor and Francis
0,7486,Edinburgh University Press
0,7487,Stanley Thornes
0,7488,Improvement and Development Agency (UK)
0,7490,Allison & Busby
0,7491,Pearson Education
0,7492,Open University Press
0,7493,Mandarin Publishing
0,7494,Kogan Page
0,7495,The Automobile Association (AA)
0,7496,Gloucester Press
0,7497,Mammoth
0,7498,Egmont World
0,7499,Piatkus
0,7500,Simon & Schuster
0,7501,Simon & Schuster
0,7502,Wayland
0,7503,Adam Hilger
0,7504,National Assembly for Wales
0,7505,Magna Large Print Books
0,7506,"Butterworth-Heinemann, Architectural Press"
0,7507,Falmer Press
0,7509,Sutton Publishing
0,7512,Gregg Revivals
0,7513,Dorling Kindersley
0,7514,Blackie Academic & Professional
0,7515,Warner Books
0,7517,BPP Learning Media
0,7518,British Geological Survey
0,7520,Longman Law
0,7521,Health Education Authority
0,7522,Boxtree; Channel 4 Books
0,7524,Tempus Publishing
0,7525,Parragon
0,7528,Orion Books
0,7530,London School of Economics and Political Science
0,7531,ISIS
0,7534,Kingfisher
0,7535,Virgin Books
0,7536,Primary Source Media
0,7537,Octopus Publishing Group
0,7538,Phoenix Books
0,7540,Chivers
0,7541,Minerva Press
0,7545,Tolley
0,7546,Ashgate Publishing
0,7548,Lorenz
0,7551,House of Stratus
0,7553,Headline Book Publishing
0,7557,Stationery Office (Éire)
0,7559,The Stationery Office (Scotland)
0,7566,DK Publishing Special Markets
0,7567,Diane Publishing
0,7573,HCI Teens
0,7575,Kendall/Hunt Publishing
0,7577,Apostolic Book Publishers
0,7579,Kalmus
0,7586,Concordia Publishing House
0,7591,AltaMira Press
0,7595,iPublish.com
0,7596,1st Books Library
0,7600,Course Technology
0,7603,Motorbooks International
0,7607,Barnes & Noble Books
0,7611,Workman Publishing
0,7613,Twenty-First Century Books; Millbrook Press
0,7614,Marshall Cavendish
0,7615,Forum/Prima Lifestyles
0,7616,Therapy Skill Builders
0,7618,University Press of America
0,7619,SAGE Publications
0,7623,JAI Press
0,7624,Running Press
0,7625,Running Press
0,7627,TwoDot; Globe Pequot
0,7631,Browntrout Publishers
0,7636,Candlewick
0,7637,Jones and Bartlett Publishers
0,7641,Barron's Educational Series
0,7643,Schiffer Publishing
0,7644,Group Publishing
0,7645,IDG Books Worldwide
0,7648,Liguori/Triumph
0,7649,Pomegranate Communications; Liguori Publications
0,7653,Tom Doherty Associates books
