"id","length","text","publisher_pro","isbn_new","year_min","year_max","record","./processed_data_1m/walktrap-unweighted","./processed_data_1m/louvain-unweighted","./processed_data_1m/infomap-unweighted"
5207,1,"liturgy training publications","liturgy training publications","1--61671",2015,2015,8,736,2662,917
5208,1,"liv brywood","liv brywood","1--5152",2015,2015,1,27,2491,29
5209,1,"live art development agency","live art development agency","1--78320;0--262",2015,2015,17,407,2238,143
5210,1,"live solidarity media","live solidarity media","0--9909593",2015,2015,1,2094,2663,2263
5211,1,"live wire","live wire","0--9553124",2015,2015,1,2096,2664,4056
5212,1,"liveright publishing corporation","liveright publishing corporation","1--63149;0--87140",2015,2015,13,1305,2665,1209
5213,1,"living ink books","living ink books","0--89957",2015,2015,2,2093,2666,2262
5214,1,"living ready","living ready","1--4403",2015,2015,1,77,4172,42
5215,1,"living sword publishing","living sword publishing","0--692",2015,2015,1,3,1177,1
5216,1,"livingston hall publishers","livingston hall publishers","0--692",2015,2015,3,3,1177,1
5217,1,"livingston press the university of west alabama","livingston press the university of west alabama","1--60489",2015,2015,2,2088,2667,2261
5218,1,"livros scorpion","livros scorpion","1--5010",2015,2015,2,469,2491,1370
5219,1,"lizzie skurnick books","lizzie skurnick books","1--939601",2015,2015,2,2087,2668,4055
5220,1,"ljla llc","ljla llc","1--5118",2015,2015,1,458,2491,108
5221,1,"llewellyn","llewellyn","0--7387",2015,2015,2,513,623,302
5222,1,"llewellyn espan ol una a divisio n de llewellyn worldwide ltd","llewellyn espan ol una a divisio n de llewellyn worldwide ltd","0--7387",2015,2015,1,513,623,302
5223,1,"llewellyn publications","llewellyn publications","0--7387",2015,2015,4,513,623,302
5224,1,"llewellyn worldwide ltd","llewellyn worldwide ltd","0--7387",2015,2015,1,513,623,302
5225,1,"lloyd words","lloyd words","1--312",2015,2015,1,453,2704,70
5226,1,"llumina press","llumina press","1--62550",2015,2015,2,1191,438,1339
5227,1,"lnj enterprises llc","lnj enterprises llc","0--692",2015,2015,1,3,1177,1
5228,1,"local history publications","local history publications","1--910722",2015,2015,1,2080,2669,2260
5229,1,"lock down publications","lock down publications","1--948878",2015,2015,1,2083,2670,4054
5230,1,"locked and loaded publications","locked and loaded publications","1--5351;1--5349",2015,2015,4,304,2671,537
5231,1,"locks art publications","locks art publications","0--8122",2015,2015,2,515,1760,299
5232,1,"lodestone books","lodestone books","1--78279",2015,2015,3,374,617,61
5233,1,"loera publishing","loera publishing","0--692",2015,2015,1,3,1177,1
5234,1,"lois greiman","lois greiman","1--5030",2015,2015,1,7,2491,390
5235,1,"lom art","lom art","1--4914",2015,2015,1,7,617,23
5236,1,"lomond","lomond","1--84204",2015,2015,1,2076,2672,2259
5237,1,"london","london","0--7735;0--226",2015,2015,2,415,3538,82
5238,1,"london borough of lambeth and the lambeth local history forum","london borough of lambeth and the lambeth local history forum","0--9926695",2015,2015,1,2071,2673,4053
5239,1,"london magazine","london magazine","0--9926061",2015,2015,1,2072,2674,4052
5240,1,"london wall publishing","london wall publishing","0--9932917",2015,2015,1,2069,2675,4051
5241,1,"lone goose press","lone goose press","0--9905950",2015,2015,1,2066,2676,2258
5242,1,"lonely mind books","lonely mind books","1--5055",2015,2015,1,7,2491,525
5243,1,"lonely planet","lonely planet","1--74220;1--74321",2015,2015,3,445,2677,416
5244,1,"lonely planet publications","lonely planet publications","1--74360;1--74220;1--74321",2015,2015,5,445,2677,416
5245,1,"long bridge publishing","long bridge publishing","1--938712",2015,2015,1,2059,2678,4050
5246,1,"long publishing company","long publishing company","0--9846540",2015,2015,1,2061,2679,4049
5247,1,"longhouse","longhouse","1--929048",2015,2015,1,2062,2680,4048
5248,1,"longleaf press methodist university","longleaf press methodist university","0--9862142",2015,2015,2,2064,2681,4047
5249,1,"longtale publishing","longtale publishing","1--941515",2015,2015,1,2054,2682,4046
5250,1,"looking glass library","looking glass library","1--62402",2015,2015,3,581,811,452
5251,1,"loose id llc","loose id llc","1--62300",2015,2015,1,2055,2683,4045
5252,1,"lorenz","lorenz","0--7877;0--7548",2015,2015,4,130,2684,402
5253,1,"lorenz books","lorenz books","0--7548",2015,2015,10,130,2684,402
5254,1,"lori b rassas llc","lori b rassas llc","1--5087",2015,2015,1,7,2491,205
5255,1,"lorimer press","lorimer press","0--9897885",2015,2015,1,2052,2685,4044
5256,1,"los angeles county museum of art","los angeles county museum of art","3--7913",2015,2015,2,118,3828,36
5257,1,"los angeles library angel city press library foundation of los angeles","los angeles library angel city press library foundation of los angeles","1--62640",2015,2015,1,2058,2686,2257
5258,1,"lost lake folk art shipwreckt books publishing company","lost lake folk art shipwreckt books publishing company","0--9907622",2015,2015,1,2077,2687,2256
5259,1,"lost realms press","lost realms press","1--5075",2015,2015,1,138,2491,102
5260,1,"lost roads press","lost roads press","0--918786",2015,2015,1,2050,2688,2255
5261,1,"lot's wife publishing","lot's wife publishing","1--934368",2015,2015,1,2049,2689,4043
5262,1,"lou cadle","lou cadle","1--5236",2015,2015,1,7,2491,263
5263,1,"loughborough university centre for innovative and collaborative construction engineering","loughborough university centre for innovative and collaborative construction engineering","1--907382",2015,2015,1,2047,2690,4042
5264,1,"louis lavoie","louis lavoie","0--9791018",2015,2015,1,2043,2691,2254
5265,1,"louisiana state university","louisiana state university","0--8071",2015,2015,1,1302,2692,916
5266,1,"louisiana state university press","louisiana state university press","0--8071",2015,2015,15,1302,2692,916
5267,1,"love and logic press","love and logic press","1--942105",2015,2015,1,2044,2693,4041
5268,1,"love food","love food","1--4723;1--4748",2015,2015,10,397,3351,164
5269,1,"love good press","love good press","0--9909169",2015,2015,2,2039,2694,4040
5270,1,"love inspired books","love inspired books","0--373;1--4603",2015,2015,48,39,1805,52
5271,1,"love land books","love land books","1--5239",2015,2015,1,710,264,714
5272,1,"love lane books","love lane books","1--5170",2015,2015,1,474,2491,71
5273,1,"loveencore","loveencore","1--5087",2015,2015,1,7,2491,205
5274,1,"lovehouse publishing co","lovehouse publishing co","1--5078",2015,2015,1,18,2491,59
5275,1,"loveswept","loveswept","0--8041;1--101",2015,2015,9,7,3389,3
5276,1,"lovstad publishing","lovstad publishing","0--692",2015,2015,2,3,1177,1
5277,1,"loyola press a jesuit ministry","loyola press a jesuit ministry","0--8294",2015,2015,3,2035,2695,2253
5278,1,"lp","lp","1--4930",2015,2015,2,272,3790,146
