cluster_id,isbn,record,type
439,1--62326,5,1
440,0--692,1,1
441,1--61956,1,1
442,0--89487,1,1
443,0--692,1,1
444,1--63350,2,1
445,0--9905603,1,1
446,0--8218,1,1
447,1--4704,1,1
448,90--8964,1,1
449,89--6559,1,1
449,1--4197,23,1
449,1--61312,3,1
450,0--9912925,1,1
451,0--692,1,1
452,1--5024,1,1
453,0--9964584,2,1
454,1--5168,1,1
455,1--938377,1,1
456,1--910518,1,1
457,1--68114,7,1
457,1--937536,1,1
458,0--85036,1,1
459,1--910785,1,1
460,1--939669,1,1
461,0--7679,2,1
462,0--345,3,1
462,1--101,2,1
462,0--8041,3,1
462,0--307,2,1
462,0--7679,1,1
463,0--295,3,1
464,1--936270,2,1
464,1--888212,1,1
465,1--4729,1,1
466,1--62403,3,1
467,1--5152,1,1
468,0--9764824,1,1
469,1--908276,10,1
470,1--78344,30,1
471,1--78344,3,1
472,0--9967777,1,1
473,1--78344,5,1
474,1--315,2,1
474,1--4557,1,1
475,1--322,1,1
476,0--9934387,1,1
477,1--297,1,1
478,0--233,2,1
479,958--46,1,1
480,1--4947,1,1
481,1--5142,2,1
481,1--5115,2,1
481,1--5141,2,1
481,1--5143,1,1
482,1--4494,38,1
483,1--4494,33,1
484,1--4494,32,1
485,1--4494,2,1
486,1--78538,3,1
487,0--9602996,1,1
488,1--939859,2,1
489,1--5197,2,1
490,1--941987,1,1
491,1--62138,3,1
491,1--59731,1,1
492,0--9931264,1,1
493,0--9966960,1,1
494,0--85766,5,1
495,1--946202,1,1
495,0--692,1,1
496,1--5351,1,1
497,1--5239,2,1
498,1--62722,4,1
499,1--63425,1,1
500,0--917189,1,1
501,0--692,1,1
502,1--904621,2,1
503,1--86147,4,1
504,1--86147,2,1
504,1--78019,1,1
505,0--578,1,1
506,1--5116,1,1
507,1--55451,10,1
508,1--5169,1,1
509,1--59635,1,1
509,1--59012,10,1
509,1--57367,15,1
510,1--59012,1,1
511,0--564,1,1
512,0--9880572,1,1
513,1--5175,1,1
514,1--938398,1,1
515,1--910221,1,1
516,1--59982,2,1
517,1--4820,1,1
518,0--930655,1,1
519,0--9915319,2,1
520,1--78308,19,1
520,0--85728,1,1
521,0--06,1,1
522,1--5114,2,1
523,1--5197,1,1
524,0--9892391,1,1
525,1--930808,1,1
526,1--85149,2,1
527,1--936482,3,1
527,1--943826,1,1
528,1--925022,4,1
529,1--893997,1,1
529,1--63067,5,1
530,0--9791285,1,1
531,0--9773045,1,1
532,1--934124,3,1
533,1--888460,2,1
534,1--56900,1,1
535,3--13,2,1
536,0--12,29,1
537,0--12,1,1
538,1--78005,6,1
539,1--78005,1,1
540,1--78005,1,1
541,1--5075,1,1
542,1--59711,23,1
543,1--59711,11,1
544,1--59711,3,1
545,1--937009,3,1
546,0--87553,1,1
547,1--5029,1,1
548,0--692,2,1
549,1--940671,1,1
550,0--9851007,1,1
551,1--910942,3,1
552,1--910167,2,1
553,0--9627486,1,1
554,1--4950,1,1
554,1--4803,1,1
555,1--84543,6,1
556,1--4822,24,1
556,1--77188,54,1
556,1--4665,1,1
556,1--926895,10,1
556,1--4987,10,1
557,1--926895,4,1
557,1--4987,5,1
557,1--4822,12,1
557,1--77188,9,1
558,1--84543,1,1
