id,length,text,publisher_pro,isbn_new,year_min,year_max,record
273,1,allen and unwin,allen and unwin,1--74331;1--76011;1--925266;1--74336,2015,2015,8.0
274,1,allen lane,allen lane,0--241;0--8129;0--7139;1--84614;0--14,2015,2015,18.0
275,1,alliance for young artists and writers,alliance for young artists and writers,0--545,2015,2015,2.0
276,1,allison and busby,allison and busby,0--7490,2015,2015,20.0
277,1,allison and busby limited,allison and busby limited,0--7490,2015,2015,7.0
278,1,allworth press,allworth press,1--62153,2015,2015,8.0
279,1,alma books,alma books,1--84688,2015,2015,1.0
280,1,alma classics,alma classics,1--84749,2015,2015,2.0
281,1,alnap odi,alnap odi,1--910454,2015,2015,1.0
282,1,alnap study,alnap study,1--910454,2015,2015,2.0
283,1,aloha publishing,aloha publishing,1--61206,2015,2015,1.0
284,1,alpha,alpha,1--61564,2015,2015,1.0
285,1,alpha a member of penguin group usa,alpha a member of penguin group usa,1--61564,2015,2015,1.0
286,1,alpha a member of penguin group usa inc,alpha a member of penguin group usa inc,1--61564,2015,2015,7.0
287,1,alpha a member of penguin random house,alpha a member of penguin random house,1--61564,2015,2015,1.0
288,1,alpha a member of penguin random house llc,alpha a member of penguin random house llc,1--61564,2015,2015,8.0
289,1,alpha a member of the penguin group usa inc,alpha a member of the penguin group usa inc,1--61564,2015,2015,1.0
290,1,alpha books,alpha books,1--4654,2015,2015,1.0
291,1,alpha books a member of penguin random house,alpha books a member of penguin random house,1--61564,2015,2015,1.0
292,1,alpha science,alpha science,1--84265,2015,2015,1.0
293,1,alpha science international,alpha science international,1--84265,2015,2015,5.0
294,1,alpha science international ltd,alpha science international ltd,1--78332;1--84265,2015,2015,37.0
295,1,alpha science intl,alpha science intl,1--84265,2015,2015,1.0
296,1,alta english,alta english,1--882483,2015,2015,1.0
297,1,altamira press,altamira press,0--7591,2015,2015,1.0
298,1,altepetl editores,altepetl editores,607--96978,2015,2015,1.0
299,1,alterna comics inc,alterna comics inc,1--934985,2015,2015,2.0
300,1,alternative comics,alternative comics,1--934460,2015,2015,3.0
301,1,althea press,althea press,1--62315,2015,2015,2.0
302,1,altis c,altis c,1--5197,2015,2015,1.0
303,1,altus press,altus press,1--61827,2015,2015,2.0
304,1,alwyn r rouyer,alwyn r rouyer,1--5117,2015,2015,1.0
305,1,alyssa dean copeland,alyssa dean copeland,1--5194,2015,2015,1.0
306,1,alzheimer's research uk,alzheimer's research uk,0--9935280,2015,2015,1.0
307,1,am books,am books,0--578,2015,2015,1.0
308,1,ama deus energy press,ama deus energy press,0--9962780,2015,2015,1.0
309,1,amacom,amacom,0--8144,2015,2015,5.0
310,1,amacom american management association,amacom american management association,0--8144,2015,2015,14.0
311,1,amanda gail,amanda gail,0--9861316,2015,2015,1.0
312,1,amanda sikarskie,amanda sikarskie,1--5122,2015,2015,1.0
313,1,amazing things press,amazing things press,0--692,2015,2015,1.0
314,1,amazon com,amazon com,1--5123,2015,2015,1.0
315,1,amazon publishing,amazon publishing,1--4778,2015,2015,2.0
316,1,amazoncrossing,amazoncrossing,1--5039,2015,2015,1.0
317,1,ambassador emerald intl,ambassador emerald intl,1--62020,2015,2015,1.0
318,1,ambassador international,ambassador international,1--62020,2015,2015,3.0
319,1,amber books,amber books,1--78274,2015,2015,10.0
320,1,amberley,amberley,1--4456,2015,2015,2.0
321,1,amberley publishing,amberley publishing,1--4456,2015,2015,2.0
322,1,ambiance books,ambiance books,1--5238,2015,2015,1.0
323,1,ambrosius publishing,ambrosius publishing,0--9824773,2015,2015,2.0
324,1,amee,amee,1--910612,2015,2015,2.0
325,1,ameet,ameet,83--253,2015,2015,1.0
326,1,america publications,america publications,1--887456,2015,2015,2.0
327,1,america star books,america star books,1--68090;1--68122,2015,2015,2.0
328,1,america star books lllp,america star books lllp,1--63508,2015,2015,1.0
329,1,america's test kitchen,america's test kitchen,1--940352,2015,2015,1.0
330,1,american academy of ophthalmology,american academy of ophthalmology,1--61525,2015,2015,1.0
331,1,american academy of paediatrics,american academy of paediatrics,1--58110,2015,2015,1.0
332,1,american academy of pediatrics,american academy of pediatrics,1--58110,2015,2015,7.0
333,1,american animal hospital association,american animal hospital association,1--58326,2015,2015,1.0
334,1,american association for physician leadership,american association for physician leadership,0--9825482,2015,2015,1.0
335,1,american association of collegiate registrars and admissions officers,american association of collegiate registrars and admissions officers,1--57858,2015,2015,2.0
336,1,american association of diabetes educators,american association of diabetes educators,1--881876,2015,2015,1.0
337,1,american association of petroleum geologists,american association of petroleum geologists,0--89181,2015,2015,1.0
338,1,american association of university professors,american association of university professors,1--4214,2015,2015,1.0
339,1,american association on intellectual and developmental disabilities,american association on intellectual and developmental disabilities,1--937604;0--9965068,2015,2015,3.0
340,1,american bar association,american bar association,1--63425;1--61438;1--62722,2015,2015,14.0
341,1,american bar association ankerwycke,american bar association ankerwycke,1--62722,2015,2015,1.0
342,1,american bar association center for professional development,american bar association center for professional development,1--63425,2015,2015,5.0
343,1,american bar association health law section,american bar association health law section,1--63425,2015,2015,4.0
344,1,american bar association joint committee on employee benefits,american bar association joint committee on employee benefits,1--63425,2015,2015,2.0
345,1,american bar association section of antitrust law,american bar association section of antitrust law,1--63425,2015,2015,2.0
346,1,american bar association section of business law,american bar association section of business law,1--62722,2015,2015,1.0
347,1,american bar association section of intellectual property law,american bar association section of intellectual property law,1--63425,2015,2015,1.0
348,1,american bar association section of international law,american bar association section of international law,1--63425,2015,2015,3.0
349,1,american bar association section of taxation,american bar association section of taxation,1--62722,2015,2015,1.0
350,1,american cancer society,american cancer society,1--60443,2015,2015,1.0
351,1,american cancer society health promotion,american cancer society health promotion,1--60443,2015,2015,1.0
352,1,american canoe association,american canoe association,0--943117,2015,2015,1.0
353,1,american ceramic society,american ceramic society,1--57498;1--118;1--119,2015,2015,3.0
354,1,american chemical society,american chemical society,0--8412,2015,2015,14.0
355,1,american chesterton society,american chesterton society,1--5051,2015,2015,2.0
356,1,american college of physicians,american college of physicians,1--938245;1--938921,2015,2015,8.0
357,1,american concrete institute,american concrete institute,0--87031;1--5108;1--942727,2015,2015,13.0
358,1,american council of learned societies,american council of learned societies,1--59740,2015,2015,2.0
359,1,american counseling association,american counseling association,1--119;1--55620,2015,2015,7.0
360,1,american craft council,american craft council,0--692,2015,2015,1.0
361,1,american educational research association,american educational research association,0--935302;1--4739,2015,2015,4.0
362,1,american fisheries society,american fisheries society,1--934874,2015,2015,2.0
363,1,american folk art museum,american folk art museum,0--912161,2015,2015,5.0
364,1,american geophysical union,american geophysical union,1--118;1--119,2015,2015,66.0
365,1,american geosciences institute,american geosciences institute,1--5088,2015,2015,1.0
366,1,american girl,american girl,0--606,2015,2015,1.0
367,1,american girl publishing,american girl publishing,1--60958,2015,2015,2.0
368,1,american health lawyers association,american health lawyers association,1--63282,2015,2015,3.0
369,1,american immigration lawyers association,american immigration lawyers association,1--57370,2015,2015,3.0
370,1,american institute for contemporary german studies the johns hopkins university,american institute for contemporary german studies the johns hopkins university,1--933942,2015,2015,1.0
371,1,american institute for psychoanalysis,american institute for psychoanalysis,1--4954,2015,2015,1.0
372,1,american institute of aeronautics and astronautics,american institute of aeronautics and astronautics,1--62410,2015,2015,1.0
373,1,american institute of aeronautics and astronautics inc,american institute of aeronautics and astronautics inc,1--62410,2015,2015,1.0
374,1,american institute of aeronautics and astronomics inc,american institute of aeronautics and astronomics inc,1--62410,2015,2015,1.0
375,1,american institute of architects,american institute of architects,1--944214,2015,2015,2.0
376,1,american institute of certified public accountants,american institute of certified public accountants,1--943546,2015,2015,1.0
377,1,american institute of certified public accountants inc,american institute of certified public accountants inc,1--943546,2015,2015,2.0
378,1,american institute of musicology,american institute of musicology,1--59551,2015,2015,1.0
379,1,american legislative exchange council,american legislative exchange council,0--9853779,2015,2015,1.0
380,1,american library association,american library association,0--8389,2015,2015,4.0
381,1,american management association,american management association,0--8144;0--7612,2015,2015,18.0
