"";"x"
"1591";4752
"1592";1048
"1593";100
"1594";1
"1595";4751
"1596";1047
"1597";241
"1598";4750
"1599";2951
"1600";131
"1601";2950
"1602";4749
"1603";4748
"1604";153
"1605";2949
"1606";106
"1607";106
"1608";106
"1609";106
"1610";23
"1611";23
"1612";97
"1613";745
"1614";4747
"1615";1
"1616";4746
"1617";367
"1618";367
"1619";367
"1620";4745
"1621";404
"1622";404
"1623";2948
"1624";4744
"1625";506
"1626";2947
"1627";237
"1628";1046
"1629";353
"1630";353
"1631";353
"1632";353
"1633";172
"1634";1045
"1635";1045
"1636";2946
"1637";1291
"1638";1044
"1639";192
"1640";671
"1641";597
"1642";411
"1643";4743
"1644";2945
"1645";55
"1646";2944
"1647";139
"1648";139
"1649";139
"1650";139
"1651";4742
"1652";4741
"1653";670
"1654";13
"1655";13
"1656";1
"1657";2943
"1658";434
"1659";4740
"1660";2942
"1661";2941
"1662";198
"1663";4739
"1664";53
"1665";1290
"1666";1290
"1667";4738
"1668";4737
"1669";2940
"1670";1043
"1671";1043
"1672";2939
"1673";2938
"1674";4736
"1675";2937
"1676";4735
"1677";1
"1678";2936
"1679";4734
"1680";4733
"1681";120
"1682";1042
"1683";1042
"1684";2935
"1685";260
"1686";669
"1687";669
"1688";669
"1689";605
"1690";4732
"1691";365
"1692";365
"1693";365
"1694";4731
"1695";4730
"1696";2934
"1697";1368
"1698";4729
"1699";2933
"1700";4
"1701";1
"1702";2932
"1703";668
"1704";4728
"1705";2931
"1706";4727
"1707";2930
"1708";2929
"1709";50
"1710";667
"1711";667
"1712";4726
"1713";4725
"1714";2
"1715";2928
"1716";4724
"1717";3
"1718";2927
"1719";73
"1720";2926
"1721";2925
"1722";22
"1723";22
"1724";2924
"1725";22
"1726";22
"1727";4723
"1728";564
"1729";2923
"1730";1374
"1731";2922
"1732";62
"1733";202
"1734";2921
"1735";154
"1736";4722
"1737";433
"1738";542
"1739";1
"1740";4721
"1741";62
"1742";62
"1743";4720
"1744";103
"1745";136
"1746";136
"1747";564
"1748";4719
"1749";199
"1750";199
"1751";199
"1752";199
"1753";48
"1754";48
"1755";4718
"1756";1041
"1757";4717
"1758";4716
"1759";132
"1760";136
"1761";136
"1762";4715
"1763";1289
"1764";1
"1765";399
"1766";2920
"1767";145
"1768";1
"1769";4714
"1770";1041
"1771";4713
"1772";50
"1773";301
"1774";301
"1775";205
"1776";4712
"1777";1040
"1778";2919
"1779";28
"1780";4711
"1781";730
"1782";1
"1783";20
"1784";20
"1785";2918
"1786";4710
"1787";4709
"1788";2917
"1789";2916
"1790";23
"1791";14
"1792";4708
"1793";4707
"1794";98
"1795";666
"1796";666
"1797";666
"1798";71
"1799";81
"1800";4706
"1801";1039
"1802";1039
"1803";2915
"1804";4705
"1805";10
"1806";10
"1807";54
"1808";2914
"1809";4704
"1810";4703
"1811";4702
"1812";2913
"1813";336
"1814";236
"1815";200
"1816";200
"1817";200
"1818";2912
"1819";203
"1820";15
"1821";4701
"1822";38
"1823";2911
"1824";4700
"1825";4699
"1826";395
"1827";4698
"1828";4697
"1829";4696
"1830";729
"1831";1345
"1832";2910
"1833";4695
"1834";2909
"1835";1288
"1836";258
"1837";2908
"1838";4694
"1839";225
"1840";225
"1841";82
"1842";4693
"1843";4692
"1844";2907
"1845";408
"1846";408
"1847";2906
"1848";379
"1849";379
"1850";2905
"1851";379
"1852";252
"1853";252
"1854";4691
"1855";2904
"1856";1038
"1857";13
"1858";379
"1859";252
"1860";252
"1861";4690
"1862";4689
"1863";2903
"1864";501
"1865";4688
"1866";2902
"1867";4687
"1868";25
"1869";2901
"1870";2900
"1871";1147
"1872";2899
"1873";172
"1874";201
"1875";61
"1876";61
"1877";1287
"1878";475
"1879";475
"1880";2898
"1881";199
"1882";4686
"1883";493
"1884";1
"1885";531
"1886";5
"1887";2897
"1888";115
"1889";274
"1890";4685
"1891";2896
"1892";211
"1893";211
"1894";211
"1895";1
"1896";1383
"1897";25
"1898";2895
"1899";2894
"1900";665
"1901";20
"1902";20
"1903";4684
"1904";664
"1905";664
"1906";2893
"1907";685
"1908";685
"1909";4683
"1910";56
"1911";45
"1912";728
"1913";728
"1914";2892
"1915";4682
"1916";4681
"1917";2891
"1918";2890
"1919";4680
"1920";1286
"1921";4679
"1922";4678
"1923";4677
"1924";1
"1925";4676
"1926";2889
"1927";2888
"1928";2887
"1929";4675
"1930";4674
"1931";15
"1932";2886
"1933";325
"1934";4673
"1935";663
"1936";663
"1937";663
"1938";1037
"1939";2885
"1940";4672
"1941";57
"1942";47
"1943";47
"1944";4671
"1945";1372
"1946";3
"1947";2884
"1948";2883
"1949";4670
"1950";4669
"1951";4668
"1952";2882
"1953";478
"1954";478
"1955";478
"1956";210
"1957";1285
"1958";4667
"1959";4666
"1960";727
"1961";727
"1962";68
"1963";2881
"1964";662
"1965";662
"1966";2880
"1967";4665
"1968";726
"1969";2879
"1970";661
"1971";660
"1972";744
"1973";2878
"1974";168
"1975";94
"1976";4664
"1977";4663
"1978";4662
"1979";89
"1980";2877
"1981";4661
"1982";4660
"1983";4659
"1984";411
"1985";2876
"1986";108
"1987";2875
"1988";4658
"1989";1284
"1990";1284
"1991";2874
"1992";64
"1993";2873
"1994";4657
"1995";4656
"1996";25
"1997";394
"1998";4655
"1999";2872
"2000";15
"2001";2871
"2002";4654
"2003";2870
"2004";2869
"2005";672
"2006";1036
