cluster_id,isbn,record,type
466,0--567,7,1
467,1--4725,2,1
467,1--4742,1,1
468,1--350,2,1
469,1--4729,1,1
470,1--68308,1,1
471,0--936185,1,1
472,0--545,1,1
473,0--912652,1,1
474,1--5098,1,1
475,1--933346,2,1
476,0--312,1,1
477,1--68188,1,1
478,1--60796,1,1
479,0--925299,1,1
480,1--55850,1,1
481,0--672,1,1
482,0--670,1,1
482,1--78230,1,1
482,1--84792,1,1
482,0--465,1,1
483,1--62639,1,1
484,0--517,1,1
485,1--59955,1,1
486,1--4998,1,1
487,1--910508,2,1
488,1--911242,1,1
488,1--910706,2,1
489,0--8297,1,1
490,1--940598,1,1
491,1--58509,1,1
492,1--944695,1,1
493,0--9932256,1,1
494,0--9978763,1,1
495,0--8369,2,1
496,1--61863,1,1
497,1--62015,1,1
498,0--531,3,1
499,0--531,2,1
500,1--60886,1,1
500,1--68415,1,1
501,1--60886,1,1
502,0--87351,1,1
503,0--00,1,1
504,0--7537,1,1
505,1--893654,1,1
506,1--910126,1,1
507,0--8395,6,1
508,0--900952,1,1
509,1--78327,1,1
510,1--84615,2,1
510,0--87471,1,1
510,0--85115,3,1
510,1--78327,3,1
511,1--62091,1,1
512,0--9616068,1,1
513,0--86709,1,1
514,81--280,1,1
515,0--7636,1,1
516,0--02,1,1
517,0--86283,1,1
517,1--84100,1,1
518,1--338,1,1
519,0--88464,1,1
520,1--62266,1,1
521,1--5197,1,1
522,0--9840745,1,1
523,0--88404,1,1
524,0--9862826,1,1
525,1--4838,1,1
526,90--04,28,1
527,90--04,2,1
528,90--04,1,1
529,1--4418,1,1
530,1--85399,1,1
530,0--906515,2,1
531,0--88486,2,1
532,1--5292,1,1
533,1--62513,1,1
534,1--61530,1,1
535,1--4073,1,1
536,1--907585,1,1
537,0--85170,1,1
538,0--8020,1,1
538,0--7123,1,1
539,0--7141,2,1
540,0--7141,1,1
540,0--520,1,1
541,1--905319,1,1
542,1--4245,1,1
543,1--55481,1,1
544,0--307,1,1
544,0--7679,1,1
545,0--307,2,1
546,0--88145,1,1
547,0--8157,3,1
548,1--133,1,1
548,0--495,2,1
549,0--534,1,1
549,0--495,1,1
550,0--8185,1,1
551,1--929145,1,1
552,1--78121,1,1
553,1--61254,1,1
554,1--59942,1,1
555,0--9859409,1,1
556,0--415,1,1
557,0--931494,1,1
558,0--9773738,1,1
559,0--89966,1,1
560,1--61148,1,1
561,0--8212,1,1
562,0--85011,1,1
563,1--78676,2,1
563,1--351,1,1
564,1--7225,1,1
564,1--59659,1,1
565,0--86012,1,1
566,0--665,1,1
567,1--63157,2,1
568,1--948976,1,1
569,1--4555,1,1
570,1--5225,1,1
571,0--12,1,1
572,0--89397,1,1
572,0--7506,5,1
573,0--08,1,1
573,0--12,5,1
573,0--7506,4,1
574,0--407,1,1
575,1--4831,1,1
576,0--408,2,1
577,1--4104,1,1
578,1--60705,1,1
578,0--914881,1,1
579,0--943502,1,1
580,0--8048,3,1
581,0--8048,2,1
582,0--665,1,1
583,1--84904,2,1
584,0--517,1,1
584,1--4000,1,1
585,0--9909357,1,1
586,0--916626,1,1
587,0--8016,1,1
588,0--85435,1,1
589,1--78064,1,1
590,1--78639,3,1
590,0--85199,2,1
590,1--78064,5,1
