cluster_id,isbn,record,type
481,0--8297,1,1
482,1--940598,1,1
483,1--58509,1,1
484,1--944695,1,1
485,0--9932256,1,1
486,0--9978763,1,1
487,0--8369,2,1
488,1--61863,1,1
489,1--62015,1,1
490,0--531,3,1
491,0--531,2,1
492,1--68415,1,1
492,1--60886,1,1
493,1--60886,1,1
494,0--87351,1,1
495,0--00,1,1
496,0--7537,1,1
497,1--893654,1,1
498,1--910126,1,1
499,0--8395,6,1
500,0--900952,1,1
501,0--85115,3,1
501,0--87471,1,1
501,1--78327,2,1
501,1--84615,2,1
502,1--62091,1,1
503,0--9616068,1,1
504,0--86709,1,1
505,81--280,1,1
506,0--7636,1,1
507,0--02,1,1
508,1--84100,1,1
508,0--86283,1,1
509,1--338,1,1
510,0--88464,1,1
511,1--5197,1,1
512,0--9840745,1,1
513,0--88404,1,1
514,0--9862826,1,1
515,90--04,28,1
516,90--04,2,1
517,90--04,1,1
518,1--4418,1,1
519,0--906515,2,1
519,1--85399,1,1
520,0--88486,2,1
521,1--5292,1,1
522,1--62513,1,1
523,1--61530,1,1
524,1--4073,1,1
525,1--907585,1,1
526,0--85170,1,1
527,0--7123,1,1
527,0--8020,1,1
528,0--7141,2,1
529,0--520,1,1
529,0--7141,1,1
530,1--905319,1,1
531,1--4245,1,1
532,1--55481,1,1
533,0--307,1,1
533,0--7679,1,1
534,0--307,2,1
535,0--88145,1,1
536,0--8157,3,1
537,1--133,1,1
537,0--495,2,1
538,0--534,1,1
538,0--495,1,1
539,0--8185,1,1
540,1--929145,1,1
541,1--78121,1,1
542,1--61254,1,1
543,1--59942,1,1
544,0--9859409,1,1
545,0--415,1,1
546,0--931494,1,1
547,0--9773738,1,1
548,0--89966,1,1
549,1--61148,1,1
550,0--8212,1,1
551,0--85011,1,1
552,1--78676,2,1
552,1--351,1,1
553,1--59659,1,1
553,1--7225,1,1
554,0--86012,1,1
555,0--665,1,1
556,1--63157,2,1
557,1--948976,1,1
558,1--4555,1,1
559,0--12,1,1
560,0--89397,1,1
560,0--7506,5,1
561,0--12,4,1
561,0--7506,4,1
562,0--407,1,1
563,1--4831,1,1
564,0--408,2,1
565,1--4104,1,1
566,0--914881,1,1
566,1--60705,1,1
567,0--943502,1,1
568,0--8048,3,1
569,0--8048,2,1
570,0--665,1,1
571,1--84904,2,1
572,0--517,1,1
572,1--4000,1,1
573,0--9909357,1,1
