F001_a,leader_18,isbn_tag,F008_0710,F040_e,F260_is,F264_is,F26x_b_cleaned,F26x_b_cleaned_pro
1007400727,a,0--9841497,2009,0,1,0,aviva,aviva
1005460804,i,0--06,2009,1,0,1,harpercollins,harpercollins
937894435,i,0--374,2014,1,0,1,"farrar, straus giroux",farrar straus giroux
828246171,i,1--250,2013,1,0,1,thomas dunne books,thomas dunne books
932122185,i,1--84935,2015,0,1,0,ak press,ak press
28131408, ,0--224,1969,0,1,0,j. cape,j cape
889264969,i,0--203,2009,1,0,1,routledge,routledge
758955742,a,1--56656,2010,0,1,0,interlink books,interlink books
263616173,a,0--412,1992,0,1,0,chapman and hall,chapman and hall
28178869,a,0--87337,1992,0,1,0,nolo press,nolo press
11121562,a,0--7089,1984,0,1,0,f.a. thorpe,f a thorpe
915712041,i,3--906769,2002,1,0,1,peter lang,peter lang
904043690,i,0--87135,1989,0,1,0,marvel comics,marvel comics
876892428,i,3--540 ;; 0--387,1986,0,1,0,springer-verlag,springer verlag
912378360,a,1--118,2015,0,1,0,wiley,wiley
1077288841,i,1--64303,2017,1,0,1,highlights for children inc,highlights for children inc
301683494,a,0--500,1986,0,1,0,thames and hudson,thames and hudson
62033034,a,0--689 ;; 0--329 ;; 1--4156,2005,0,1,0,simon pulse,simon pulse
21321900,a,0--88184,1990,0,1,0,carroll and graf,carroll and graf
1097132647,i,1--315 ;; 1--4987,2017,1,0,1,crc press,crc press
14258911,a,0--440,1986,0,1,0,dell,dell
1046544196,i,1--945498,2017,1,0,1,aicpa,aicpa
1013736987,i,1--4718,2017,1,0,1,dynamic learning,dynamic learning
964307259,i,1--78295,2016,1,0,1,red fox,red fox
1000112032,a,0--8368,2008,0,1,0,gareth stevens pub,gareth stevens pub
14076712,i,0--345,1986,1,0,1,ballantine books,ballantine books
878144738,i,1--315,2014,1,0,1,routledge,routledge
312168477,a,0--06,2009,0,1,0,greenwillow books,greenwillow books
913506517,i,0--00,2014,1,0,1,harpercollins children's books,harpercollins children's books
1058212218,i,1--4822,2015,1,0,1,crc press,crc press
851410054,i,1--909384,2013,1,0,1,helion and company limited,helion and company limited
