id,length,text,publisher_pro,isbn_new,year_min,year_max,record
225,1,arcturus,arcturus,1--84837,2013,2013,1.0
226,1,arcturus pub,arcturus pub,1--84858,2013,2013,1.0
227,1,ariel press,ariel press,0--89804,1986,1986,1.0
228,1,aris and phillips,aris and phillips,1--908343,2013,2013,1.0
229,1,arizona center for medieval and renaissance studies,arizona center for medieval and renaissance studies,0--86698;2--503,2012,2012,1.0
230,1,arizona highways,arizona highways,0--916179,1998,1998,1.0
231,1,arkana,arkana,0--7100;1--85063;0--14,1987,1991,3.0
232,1,arlen house,arlen house,1--85132,2018,2018,1.0
233,1,arlington house,arlington house,0--87000,1973,1973,1.0
234,1,armadillo,armadillo,1--86147;1--84322,2013,2017,2.0
235,1,arms and armour,arms and armour,1--85409,1998,1998,1.0
236,1,arno,arno,0--405,1970,1970,1.0
237,1,arno and the new york times,arno and the new york times,0--405,1971,1971,1.0
238,1,arno press,arno press,0--405;87--85176,1969,1982,13.0
239,1,arnold,arnold,0--340;0--7131,1964,2002,4.0
240,1,arrow,arrow,0--09;0--7493,1998,2009,2.0
241,1,arrow books,arrow books,0--09,1985,2016,5.0
242,1,art gallery of new south wales,art gallery of new south wales,0--7347;1--85514,2006,2006,1.0
243,1,arte pu blico press,arte pu blico press,1--5185,2017,2017,1.0
244,1,artech house,artech house,1--63081;1--60807,2013,2018,3.0
245,1,arthur a levine books,arthur a levine books,0--545;1--338,2013,2019,2.0
246,1,artifice books on architecture,artifice books on architecture,1--908967,2014,2014,1.0
247,1,artiqua press,artiqua press,0--9835723,2014,2014,1.0
248,1,artworks,artworks,0--87846,2001,2001,1.0
249,1,ascd,ascd,1--4166,2012,2018,3.0
250,1,ascencia,ascencia,1--63530,2018,2018,1.0
251,1,ashgate,ashgate,1--351;0--7546;1--306;1--85972;1--4094;1--317;1--315;1--4724;1--322,1999,2016,37.0
252,2,ashgate pub limited;;ashgate publishing limited,ashgate pub limited;;ashgate publishing limited,1--4094;1--351;1--4724;0--7546,2013,2014,2.0
253,1,ashgate publishing company,ashgate publishing company,1--4094;1--306;1--4724,2014,2014,2.0
254,1,ashgate publishing group,ashgate publishing group,1--4724,2014,2014,2.0
255,1,ashgate variorum,ashgate variorum,0--86078,2003,2003,1.0
256,1,ashgrove press,ashgrove press,1--85398,1998,1998,1.0
257,1,asia society,asia society,0--87848,2005,2005,1.0
258,1,aslan group publishing,aslan group publishing,1--888582,1968,1968,1.0
259,1,asm international,asm international,0--87170,1995,1995,1.0
260,1,asm press,asm press,1--55581,2001,2015,3.0
261,1,aspect,aspect,0--446,2004,2004,1.0
262,1,aspen publishers,aspen publishers,0--7355,2003,2005,3.0
263,1,aspen systems corp,aspen systems corp,0--89443,1980,1980,1.0
264,1,asq quality press,asq quality press,0--87389,2010,2014,2.0
265,1,association,association,0--926508,1989,1989,1.0
266,1,association for computing machinery,association for computing machinery,0--89871;1--4503,2006,2013,2.0
267,1,association for educational communications and technology,association for educational communications and technology,0--317,1985,1985,1.0
268,1,association of american medical colleges,association of american medical colleges,1--5238,2016,2016,1.0
269,1,association of research libraries,association of research libraries,1--59407,2013,2013,1.0
270,1,astm international,astm international,1--68221,2018,2018,1.0
271,1,astral,astral,0--9645867,2004,2004,1.0
272,1,atallas publishing,atallas publishing,0--6481864,2017,2017,1.0
273,1,atd press,atd press,1--56286,2016,2016,1.0
274,1,athena scientific,athena scientific,1--886529,1997,1997,1.0
275,1,atheneum,atheneum,0--689,1975,1986,4.0
276,1,atheneum books for young readers,atheneum books for young readers,1--4424;1--4169,2009,2018,3.0
277,1,atlantic books,atlantic books,1--78239,2015,2015,2.0
278,1,atlantic council,atlantic council,1--61977,2016,2016,1.0
279,1,atlantic monthly press,atlantic monthly press,0--8021;0--87113,1988,2019,4.0
280,1,atria,atria,0--7434,2003,2003,1.0
281,1,atria 37 ink,atria 37 ink,1--4767,2015,2015,1.0
282,1,atria books,atria books,1--5011,2018,2018,2.0
283,1,atria paperback,atria paperback,1--5011;1--58270,2015,2018,2.0
284,1,atticus creative,atticus creative,0--9978974,2017,2017,1.0
285,1,auctoris press,auctoris press,0--9778023,2015,2015,1.0
286,1,audiogo,audiogo,1--4713,2012,2012,1.0
287,1,audiogo ltd,audiogo ltd,1--4084;1--4713,2011,2013,2.0
288,1,aupha press,aupha press,0--914904,1982,1982,1.0
289,1,austin macauley publishers,austin macauley publishers,1--78455,2015,2015,1.0
290,1,australian institute of health and welfare,australian institute of health and welfare,1--74249,2015,2016,4.0
291,1,australian national audit office,australian national audit office,1--76033,2018,2018,2.0
292,1,authentic,authentic,1--85078,2016,2016,1.0
293,1,author,author,1--4196,2008,2008,1.0
294,1,authorhouse,authorhouse,1--5049;1--4918;1--4969;1--4772;1--4490,2011,2015,7.0
295,1,authors choice press,authors choice press,0--595;1--4401,2002,2009,2.0
296,1,automobile association,automobile association,0--7495,2009,2009,1.0
297,1,autonomedia,autonomedia,1--57027,2004,2004,1.0
298,1,autopress,autopress,0--85147,1970,1970,1.0
299,1,autumn house,autumn house,1--873796,1998,1998,1.0
300,1,av by weigl,av by weigl,1--4896,2015,2019,2.0
301,1,av2 by weigl,av2 by weigl,1--62127;1--4896,2014,2018,3.0
302,1,avalon travel,avalon travel,1--63121,2017,2017,1.0
303,1,avalon travel a member of the perseus books group,avalon travel a member of the perseus books group,1--61238,2014,2014,1.0
304,1,ave maria press,ave maria press,1--59471,2016,2016,1.0
305,1,avery,avery,0--525,2018,2018,1.0
306,1,avi,avi,0--87055,1982,1982,1.0
307,1,avi pub co,avi pub co,0--87055,1977,1977,1.0
308,1,aviation supplies and academics,aviation supplies and academics,1--56027,2002,2002,1.0
309,1,aviation supplies and academics inc,aviation supplies and academics inc,1--61954,2015,2015,1.0
310,1,aviva,aviva,0--9841497,2009,2009,1.0
311,1,avon,avon,0--380;0--06;0--00;1--4201,1973,2013,10.0
312,1,avon books,avon books,0--380;0--671;0--06;1--4169,1974,2018,23.0
313,1,aztlan libre press,aztlan libre press,0--9897782,2014,2014,1.0
314,1,b and h publishing group,b and h publishing group,0--8054,2009,2009,1.0
315,2,b blackwell;;basil blackwell,b blackwell;;basil blackwell,0--631,1985,1990,6.0
316,1,b e a n enterprises llc,b e a n enterprises llc,0--578,2015,2015,1.0
317,1,b renreiter,b renreiter,3--7618,2007,2007,1.0
318,1,babelcube inc,babelcube inc,1--63339,2015,2015,1.0
319,1,baby professor,baby professor,1--5419,2017,2017,1.0
320,1,back bay books little brown,back bay books little brown,0--316,2007,2007,1.0
321,1,back bay books little brown and company,back bay books little brown and company,0--316,2015,2018,3.0
322,1,backbeat books,backbeat books,1--4950,2016,2016,1.0
323,1,backpack books,backpack books,0--7607,2005,2006,2.0
324,1,baen,baen,1--4516;0--671,1995,2012,3.0
325,1,baen enterprises,baen enterprises,0--671,1990,1990,1.0
326,1,baillie re tindall,baillie re tindall,0--7020,2005,2005,1.0
327,1,bain and co,bain and co,0--912841,1995,1995,1.0
328,1,bainbridgebooks,bainbridgebooks,1--891696,2000,2000,1.0
329,1,baker academic,baker academic,0--8010,2001,2011,2.0
330,1,baker book house,baker book house,0--310;0--8010,1973,1987,5.0
331,1,baker books,baker books,0--8010,1998,2017,4.0
332,1,balboa press,balboa press,1--4525,2014,2014,1.0
333,1,ballantine,ballantine,0--345;0--449,1964,2001,10.0
334,1,ballantine books,ballantine books,1--68324;0--345;0--8041;1--299;0--613;0--449;0--399;1--101;0--356;0--7434;0--00,1969,2019,44.0
335,1,ballantine books trade paperbacks,ballantine books trade paperbacks,0--345,2010,2010,1.0
336,1,ballentine books,ballentine books,0--345;0--449,1996,2011,3.0
337,1,ballinger publishing,ballinger publishing,0--88410,1984,1984,1.0
338,1,balzer bray,balzer bray,0--06,2013,2018,2.0
339,1,bandai entertainment,bandai entertainment,1--59409,2008,2008,1.0
340,1,banned books,banned books,0--934411,1992,1992,1.0
341,1,banque mondiale,banque mondiale,0--8213,1984,1984,1.0
342,1,bantam,bantam,0--7181;0--689;0--7704;0--553;3--453;1--4424,1969,1992,11.0
343,1,bantam books,bantam books,1--4517;0--553;0--8041;1--299;0--15;0--13;0--87720;1--4176;0--440,1956,2016,44.0
344,1,bantam dell,bantam dell,0--553,2004,2004,1.0
