F001_a,leader_18,isbn_tag,isbn_tag1,F008_0710,F040_e,F260_is,F264_is,F26x_b_cleaned,source
30335238,a,,,1962,0,1,0,companion book club,1
781183005,i,0--415,0--415,2003,0,1,0,routledge,1
1057094651,a,,,2000,0,0,1,international association of sedimentologists,1
880941690,i,0--8024,0--8024,2014,1,0,1,northfield publishing,1
922657740,i,1--74220,1--74220,2015,0,1,0,lonely planet,1
426215007,a,,,1962,0,1,0,united nations,1
967624849,a,0--8109,0--8109,1976,0,1,0,harry n. abrams,1
81459014,i,0--523,0--523,1978,1,0,1,pinnacle books,1
40149122,a,0--307,0--307,1996,0,1,0,western pub. co,1
27280971,a,0--553,0--553,1993,0,1,0,bantam books,1
930371027,i,0--06,0--06,2015,1,0,1,harperperennial,1
869388835,i,,,1965,0,1,0,russell and russell,1
1050360897,i,1--315 ;; 1--351,1--315,2019,1,0,1,routledge,1
809410653,a,1--4084,1--4084,2010,0,1,0,windsor paragon,1
1027997714,i,1--78100 ;; 1--84844,1--78100,2009,1,0,1,edward elgar,1
894936244,i,1--138,1--138,2015,1,0,1,routledge/taylor and francis group,1
899263019,i,1--4725,1--4725,2014,0,1,0,bloomsbury,1
934434844,i,0--300,0--300,2013,0,1,0,yale university press,1
12536988,a,0--930823,0--930823,1985,0,1,0,lifeline publishers,1
904557535,a,0--470,0--470,2008,0,0,1,j. wiley and sons,1
887270460,i,0--8297,0--8297,2013,1,0,1,editorial vida,1
795548695,a,1--932799,1--932799,2005,0,1,0,stargazer books,1
17572253,a,,,1967,0,1,0,grolier,1
936675066,i,1--4664,1--4664,2011,1,0,1,sage and scribe llc,1
744623152,i,1--4327,1--4327,2011,1,1,0,outskirts press inc,1
633316912,i,,,1972,0,1,0,kennikat press,1
1014101199,i,1--137,1--137,2015,1,0,1,palgrave macmillan,1
891398057,i,1--4617,1--4617,1996,1,0,1,down east books,1
12285093,a,0--393,0--393,1985,0,1,0,w.w. norton,1
85776122,a,0--8439,0--8439,2007,0,1,0,leisure books,1
7285172, ,,,1971,0,1,0,university microfilms,1
6789686,i,0--89621,0--89621,1980,0,1,0,thorndike press,1
1043953036,i,0--9973712,0--9973712,2017,1,0,1,lawrence e. crockett,1
1047547224,i,1--4988,1--4988,2018,1,0,1,gideon informatics inc,1
39279089,a,,,1998,0,1,0,hyperion,1
874174299,i,1--315,1--315,2013,1,0,1,routledge,1
609500023,a,,,1969,0,1,0,macmillan,1
